analysis_id,0724y0i7h1s2u1j
mouse_life_stage,Early adult
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_name,Sacral processes
mouse_strain,C57BL
pvalue,0.1423472
parameter_id,IMPC_XRY_066_001
