parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
pvalue,0.9873917
mouse_strain,C57BL
gene_accession_id,MGI:1860103
analysis_id,0v17mkdzm2q9279
gene_symbol,Slc2a8
parameter_id,IMPC_XRY_018_001
