analysis_id,h6tol22d8q4k089
parameter_name,Calcium
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
pvalue,0.7551407
