parameter_name,B cell number
gene_accession_id,MGI:2135738
pvalue,0.2257126
parameter_id,MGP_PBI_034_001
gene_symbol,Abo
analysis_id,3i9t3vdp3iu002s
mouse_life_stage,Early adult
mouse_strain,C57BL
