gene_symbol,Lime1
pvalue,1.000767
parameter_id,M-G-P_025_001_030
analysis_id,678414ck1911509
gene_accession_id,MGI:1919949
parameter_name,Magnesium
mouse_life_stage,Early adult
mouse_strain,C57BL
