parameter_name,Bone Area
parameter_id,IMPC_DXA_010_001
analysis_id,2myy6vbr40m9wmd
pvalue,0.8174376
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_strain,C57BL
mouse_life_stage,Late adult
