parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
parameter_name,Heart weight
gene_accession_id,MGI:1913405
analysis_id,47m999n3g4jk1w9
pvalue,0.5175354
gene_symbol,Ufc1
mouse_life_stage,Early adult
