analysis_id,h7kn2t8m6t26h0u
gene_accession_id,MGI:2140475
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Late adult
pvalue,0.1044265
parameter_id,MGP_MLN_006_001
gene_symbol,AU040320
mouse_strain,C57BL
