analysis_id,fuv36863il0c4td
gene_symbol,Extl1
pvalue,0.986905
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
parameter_id,JAX_SLW_014_001
