analysis_id,ig5910u0ruy709d
gene_accession_id,MGI:2448481
parameter_name,Potassium
gene_symbol,Mgst2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1117165
parameter_id,GMC_906_001_005
