parameter_name,Fat/Body weight
mouse_strain,C57BL
analysis_id,w9b63hi2772f7kd
pvalue,0.2924174
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
gene_symbol,Rap2b
