parameter_id,IMPC_CBC_012_001
analysis_id,y8w62053kq8f943
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Aspartate aminotransferase
gene_symbol,Mapkap1
pvalue,0.3846165
gene_accession_id,MGI:2444554
