analysis_id,77w798r600rju67
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_id,IMPC_IMM_025_001
pvalue,0.8540395
gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_name,DN CD25- NKT cells
