parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
pvalue,0.6200706
gene_accession_id,MGI:1915472
analysis_id,60o46c581861020
gene_symbol,Tubb4b
mouse_strain,C57BL
