parameter_name,Percent time in light
parameter_id,IMPC_LDT_008_001
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
mouse_strain,C57BL
analysis_id,v1j608e6t164imy
pvalue,0.6225819
mouse_life_stage,Early adult
