parameter_name,Stroke Volume
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
analysis_id,3i27kigsuf60oa3
mouse_strain,C57BL
gene_symbol,Lpgat1
pvalue,0.8653472
parameter_id,IMPC_ECH_003_001
