analysis_id,4xv1hnal4460l11
parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
pvalue,0.4992676
gene_symbol,Secisbp2l
mouse_strain,C57BL
