analysis_id,o4vrja85n6xn390
parameter_name,MZB (CD21/35 high)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
gene_symbol,Dhdds
pvalue,0.4634834
gene_accession_id,MGI:1914672
mouse_strain,C57BL
