analysis_id,4xtrt2t1l74kqpm
parameter_name,% Pre-pulse inhibition - PPI4
pvalue,0.382027
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Traf6
parameter_id,IMPC_ACS_036_001
