gene_symbol,Cd52
pvalue,0.5991429
mouse_strain,C57BL
gene_accession_id,MGI:1346088
parameter_id,MGP_PBI_014_001
parameter_name,B cell percentage
mouse_life_stage,Early adult
analysis_id,1bvq0hx3240r3z0
