parameter_name,CD8 CD44+CD62L- T cells
analysis_id,86o96n2lab56tf5
gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.7934893
