analysis_id,jhl93p8qsyock2y
parameter_name,Monocytes
mouse_strain,C57BL
parameter_id,IMPC_IMM_051_001
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
pvalue,0.07747344
