parameter_name,Whole arena average speed
parameter_id,JAXLA_OFD_009_001
analysis_id,u4r4131r0z6598p
mouse_strain,C57BL
pvalue,0.846428
gene_symbol,Extl1
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
