analysis_id,4k0t0w5o38e17eh
gene_accession_id,MGI:1914256
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cisd2
parameter_name,Corneal vascularization
pvalue,0.4834318
parameter_id,IMPC_EYE_009_001
