analysis_id,007d9ov60c4t359
gene_accession_id,MGI:2385156
pvalue,0.6240768
parameter_id,IMPC_IMM_004_002
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
