parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
gene_symbol,Lurap1
analysis_id,v9u26gmm101eb65
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2784303
gene_accession_id,MGI:1915325
