analysis_id,436aco1g8i1h892
mouse_strain,129SV
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
pvalue,0.1278251
parameter_id,MGP_PBI_010_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
gene_symbol,Ddx27
