gene_symbol,Sla2
parameter_name,Red blood cell count
mouse_strain,C57BL
gene_accession_id,MGI:1925049
pvalue,0.5081965
parameter_id,IMPC_HEM_002_001
mouse_life_stage,Early adult
analysis_id,a8y2173c15xo7o4
