analysis_id,9n808gbqmgiinj4
mouse_strain,C57BL
pvalue,0.1615254
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
