parameter_id,MGP_BMI_006_001
analysis_id,64v39zn39j9m033
pvalue,0.8666639
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Steap3
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:1915678
