analysis_id,knl048193am4j15
parameter_name,Vibrissae - presence
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
pvalue,0.10274
gene_symbol,Lpgat1
parameter_id,JAXLA_CSD_023_001
mouse_strain,C57BL
