gene_symbol,Zmynd8
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:1918025
parameter_name,Total holepokes
analysis_id,2t2zwk81qcro9h9
mouse_life_stage,Early adult
pvalue,0.5229442
mouse_strain,129SV
