parameter_name,Aspartate aminotransferase
pvalue,0.5635333
mouse_strain,C57BL
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_012_001
gene_symbol,Ahcy
analysis_id,08908wp8q4vi190
