parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
analysis_id,5o0zfg7uk3259mu
pvalue,0.4010442
mouse_strain,C57BL
