gene_symbol,Nipal3
gene_accession_id,MGI:1921802
pvalue,0.5776881
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,129SV
analysis_id,4m62967730r4b5j
parameter_id,M-G-P_005_001_004
mouse_life_stage,Early adult
