gene_symbol,Opn3
analysis_id,5595y07ym0tkw42
mouse_life_stage,Early adult
pvalue,0.7712199
mouse_strain,C57BL
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
gene_accession_id,MGI:1338022
