gene_symbol,Dcaf10
pvalue,0.4473026
gene_accession_id,MGI:2140179
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
parameter_name,Thyroxine
mouse_life_stage,Early adult
analysis_id,9o9cbwl967q15ma
