analysis_id,dty41b35rp2h26c
gene_symbol,Cds2
parameter_id,MGP_CSD_066_001
pvalue,0.1351674
mouse_life_stage,Early adult
parameter_name,Snout morphology
mouse_strain,129SV
gene_accession_id,MGI:1332236
