parameter_name,Glucose
parameter_id,HMGULA_CBC_018_001
gene_accession_id,MGI:1274787
analysis_id,2cm93lc2p5065cj
mouse_life_stage,Early adult
gene_symbol,Trdmt1
pvalue,0.3990726
mouse_strain,C57BL
