analysis_id,3sse98cz0r3s39p
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
pvalue,0.5380911
gene_symbol,Hspa5
parameter_name,PQ
