analysis_id,k1jn3a49a79513s
gene_accession_id,MGI:107566
mouse_strain,C57BL
parameter_id,MGP_PBI_002_001
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
pvalue,0.1313143
gene_symbol,Kifap3
