analysis_id,33ryc004z850b6o
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Bcs1l
parameter_name,110dB startle magnitude
pvalue,0.2885214
gene_accession_id,MGI:1914071
parameter_id,ESLIM_011_001_006
