analysis_id,ylp9e2dkkpjp5t1
gene_symbol,Pum1
parameter_name,Periphery permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
gene_accession_id,MGI:1931749
pvalue,0.9396572
mouse_life_stage,Early adult
