gene_symbol,Duoxa2
parameter_name,Pale yolk sac
mouse_life_stage,Early adult
analysis_id,15i49jg4k7tqukc
mouse_strain,C57BL
gene_accession_id,MGI:1914061
parameter_id,IMPC_GEL_017_002
pvalue,0.9229851
