analysis_id,963d6kseqs5s579
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
gene_symbol,Slc45a3
pvalue,0.2403879
