parameter_id,JAX_OFD_022_001
mouse_life_stage,E9.5
parameter_name,Percentage center time
gene_accession_id,MGI:1924315
gene_symbol,Ints7
pvalue,0.4990335
mouse_strain,C57BL
analysis_id,9zwh36o881u878w
