gene_symbol,Psd4
pvalue,0.3123255
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
parameter_name,Stroke Volume
analysis_id,75l362adev34697
