parameter_name,Right total retinal thickness
pvalue,0.7186642
parameter_id,IMPC_EYE_062_001
analysis_id,u1q38b8qc1qx4ht
gene_symbol,Fpgs
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
mouse_strain,C57BL
