analysis_id,n1160elj9wm2p12
gene_accession_id,MGI:2140475
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
pvalue,0.8720254
mouse_strain,C57BL
gene_symbol,AU040320
mouse_life_stage,Early adult
