analysis_id,jz29emuc5b6ha3p
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_id,ESLIM_016_001_005
pvalue,0.8743035
gene_symbol,Bcs1l
parameter_name,Mean cell volume
