gene_symbol,Trpa1
parameter_name,Haemoglobin
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
pvalue,0.4142535
analysis_id,4ul97448zobsvp1
