analysis_id,8991masncz1rz7p
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dnajc6
pvalue,0.1230101
parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1919935
