analysis_id,9914b9dqa5rnf81
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
mouse_life_stage,Early adult
pvalue,0.8377187
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
parameter_name,Calcium
