parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
analysis_id,cc39a0b785753h3
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
pvalue,0.318186
parameter_id,ESLIM_011_001_703
