analysis_id,tkgqep0jh7k1hl4
parameter_id,JAXLA_CSD_039_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_name,Limb grasp
mouse_life_stage,E15.5
gene_symbol,Fgb
pvalue,0.311488
