analysis_id,7875e17s0odv2l3
parameter_id,IMPC_ABR_008_001
parameter_name,18kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
gene_symbol,Duoxa2
pvalue,2.636349e-10
