parameter_name,Lean/Body weight
gene_accession_id,MGI:1913105
gene_symbol,Slc28a2
parameter_id,IMPC_DXA_008_001
pvalue,0.8208091
analysis_id,g5k24o62le42n05
mouse_strain,C57BL
mouse_life_stage,Early adult
