parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1923959
mouse_strain,C57BL
pvalue,0.5742353
analysis_id,11bq0vk9j351o3o
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_name,Neutrophils
