analysis_id,7n4rch6g7i7rs0n
gene_symbol,Tiprl
parameter_id,IMPC_FEA_107_001
pvalue,0.2658859
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
mouse_strain,C57BL
