mouse_life_stage,E9.5
analysis_id,w78j48v4p6754is
parameter_name,Phosphorus
mouse_strain,C57BL
parameter_id,IMPC_CBC_010_001
pvalue,0.5182141
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
