analysis_id,13v22itl64y58r9
mouse_strain,C57BL
pvalue,0.5909844
parameter_id,IMPC_CSD_033_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
parameter_name,Gait
gene_symbol,Pum1
