parameter_name,Whole arena resting time
gene_accession_id,MGI:2448481
mouse_strain,C57BL
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_007_001
analysis_id,o8ws8fw716j3eq3
pvalue,0.6917201
