analysis_id,nyuftb980ig7npr
pvalue,0.9166466
parameter_id,MGP_PBI_001_001
gene_symbol,Pum1
mouse_strain,C57BL
parameter_name,Total T cell percentage
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
