parameter_name,Calcium
mouse_life_stage,Early adult
pvalue,0.1674536
gene_symbol,Frmpd1
parameter_id,HMGULA_CBC_009_001
analysis_id,7856j5e8e636tne
gene_accession_id,MGI:2446274
mouse_strain,C57BL
